feature,correlation,p_value,present_count,present_percentage,alpha_when_present,alpha_when_absent,alpha_difference
ai_present,,,0,0.0,,-0.29528663453227366,
hardware_present,,,0,0.0,,-0.29528663453227366,
software_present,,,0,0.0,,-0.29528663453227366,
semiconductor_present,,,0,0.0,,-0.29528663453227366,
cloud_services_present,,,0,0.0,,-0.29528663453227366,
data_center_present,,,0,0.0,,-0.29528663453227366,
cybersecurity_present,,,0,0.0,,-0.29528663453227366,
blockchain_present,,,0,0.0,,-0.29528663453227366,
vr_ar_present,,,0,0.0,,-0.29528663453227366,
autonomous_tech_present,,,0,0.0,,-0.29528663453227366,
space_tech_present,,,0,0.0,,-0.29528663453227366,
earnings_present,,,0,0.0,,-0.29528663453227366,
revenue_growth_present,,,0,0.0,,-0.29528663453227366,
operating_margin_present,,,0,0.0,,-0.29528663453227366,
valuation_present,,,0,0.0,,-0.29528663453227366,
market_sentiment_present,,,0,0.0,,-0.29528663453227366,
investor_sentiment_present,,,0,0.0,,-0.29528663453227366,
capital_allocation_present,,,0,0.0,,-0.29528663453227366,
investment_strategy_present,,,0,0.0,,-0.29528663453227366,
product_innovation_present,,,0,0.0,,-0.29528663453227366,
product_launch_present,,,0,0.0,,-0.29528663453227366,
manufacturing_present,,,0,0.0,,-0.29528663453227366,
supply_chain_present,,,0,0.0,,-0.29528663453227366,
business_strategy_present,,,0,0.0,,-0.29528663453227366,
partnership_present,,,0,0.0,,-0.29528663453227366,
acquisition_present,,,0,0.0,,-0.29528663453227366,
competitive_pressure_present,,,0,0.0,,-0.29528663453227366,
regulatory_present,,,0,0.0,,-0.29528663453227366,
legal_ruling_present,,,0,0.0,,-0.29528663453227366,
antitrust_present,,,0,0.0,,-0.29528663453227366,
government_policy_present,,,0,0.0,,-0.29528663453227366,
trade_policy_present,,,0,0.0,,-0.29528663453227366,
export_controls_present,,,0,0.0,,-0.29528663453227366,
privacy_present,,,0,0.0,,-0.29528663453227366,
compliance_present,,,0,0.0,,-0.29528663453227366,
market_share_present,,,0,0.0,,-0.29528663453227366,
customer_demand_present,,,0,0.0,,-0.29528663453227366,
brand_reputation_present,,,0,0.0,,-0.29528663453227366,
advertising_present,,,0,0.0,,-0.29528663453227366,
ecommerce_present,,,0,0.0,,-0.29528663453227366,
financial_services_present,,,0,0.0,,-0.29528663453227366,
gaming_present,,,0,0.0,,-0.29528663453227366,
streaming_present,,,0,0.0,,-0.29528663453227366,
energy_present,,,0,0.0,,-0.29528663453227366,
geopolitical_present,,,0,0.0,,-0.29528663453227366,
