article_id,consolidated_event_tags,consolidated_event_type,consolidated_factor_name,event_tag_category,factor_magnitude,factor_movement,article_source_credibility,market_perception_intensity,alpha_vs_spy_1day_after,alpha_vs_spy_1week_after,alpha_vs_qqq_1day_after
article_0_b152,software,product_launch,competitive_pressure,,0.004279462063987168,-1,0.8868391273003876,0.3304665476271669,1.8451420619085124,-5.485424206551532,4.530477018298836
article_0_46a4,,market_update,market_share,,0.02070110961390659,-1,0.45615569182146026,0.7144408514750845,4.512173576899703,7.791461740764047,2.0367813471516385
article_0_0b10,ai,regulatory_change,revenue_growth_rate,Technology,0.005316041778279029,-1,0.1997094475523969,0.21292861582321373,0.28341938032084735,2.9184371894099703,3.5000618114705704
article_1_b152,earnings,product_launch,customer_sentiment,,0.035996574548137796,0,0.27499584579531416,0.7726940621953777,-2.720514636809762,2.2801860998409795,-2.0789086803408985
article_1_46a4,ai,product_launch,market_share,,0.014115835957237421,1,0.5804767701855515,0.38283324033557703,-1.1644147818359163,6.171942898256219,1.9302346152990746
article_1_0b10,semiconductor,analyst_update,competitive_pressure,Technology,0.01606865153399768,-1,0.9071131132833379,0.10941031034346782,4.693888313322029,0.8400864373979045,1.352750402521976
article_2_b152,regulatory,product_launch,revenue_growth_rate,,0.014645337598448781,0,0.19532457579842882,0.9300705518544977,-4.850024489330194,6.314339518644911,-0.07004454684888195
article_2_46a4,semiconductor,analyst_update,market_share,,0.016027948010095976,0,0.3887850892644363,0.9349079140934776,3.8649312754836087,6.121424048405406,0.3262582749320886
article_2_0b10,software,product_launch,supply_chain_risk,Technology,0.02858714116989348,1,0.20754137742284556,0.4577526153540416,2.0436533336190887,1.9004238901774162,0.6885394626044705
article_3_b152,semiconductor,product_launch,supply_chain_risk,,0.03235161904617139,1,0.7246405763023931,0.12294776154893128,-0.6639812984935667,8.099066061167973,-0.6213062621879473
article_3_46a4,hardware,market_update,revenue_growth_rate,,0.03923712961106359,0,0.24143153112032661,0.8008763878820704,-2.8482276862444245,-1.4716351824327734,-3.6722627583054135
article_3_0b10,,product_launch,competitive_pressure,Technology,0.009537971541073472,1,0.5986578009325306,0.5241354604335319,-0.06886065478275527,4.877416861285104,2.5492416741079604
article_4_b152,ai,product_launch,market_share,,0.031185029910402704,0,0.6716408849558944,0.7128061437842055,-3.0733243766448357,4.691570438060491,4.854152434310959
article_4_46a4,,market_update,competitive_pressure,,0.042634002925888384,-1,0.9659385588792136,0.43981828611070595,-3.4036551865599796,8.743035202565977,-4.191045214700512
article_4_0b10,semiconductor,earnings_report,market_share,Technology,0.016671827731154724,1,0.4963831007471658,0.151717566545611,3.021671598993505,5.251786334710513,-3.2395370145293345
